ID, X, Y, Z
517237.81531, -0.005, 1.153, 10.256
517237.83303, 0.273, 1.680, 9.811
517237.85203, 0.417, 1.685, 9.576
517237.87187, -0.124, 1.086, 9.638
517237.89290, -0.484, 1.062, 9.107
517237.91193, 0.034, 1.623, 8.767
517237.93183, 1.030, 2.245, 9.399
517237.95278, 1.762, 2.379, 10.093
517237.97192, 0.651, 2.034, 9.768
517237.99186, -0.268, 1.402, 10.136
517238.01269, 0.010, 1.292, 9.763
517238.03180, 0.364, 1.489, 9.265
517238.05183, 0.388, 1.848, 9.485
517238.07260, -0.014, 1.532, 9.796
517238.09157, -0.939, 1.220, 9.816
517238.11169, -0.321, 0.991, 9.251
517238.13248, 1.279, 1.862, 8.700
517238.15158, 0.479, 3.026, 9.476
517238.17156, -0.948, 1.943, 11.908
517238.19255, -0.680, 0.172, 11.051
517238.21197, 0.469, -0.436, 8.518
517238.23152, -0.421, -0.604, 8.346
517238.25256, -1.379, -0.307, 10.831
517238.27179, -0.168, 0.569, 9.289
517238.29146, 0.541, 1.489, 7.168
517238.31230, 0.886, 1.781, 7.244
517238.33185, -0.536, 1.848, 11.176
517238.35108, -0.091, 0.976, 12.167
517238.37214, 0.546, 0.622, 9.140
517238.39107, 2.021, 2.288, 7.014
517238.41149, 1.082, 3.064, 8.226
517238.43229, -0.249, 2.877, 10.941
517238.45120, -1.346, -0.350, 11.233
517238.47096, 0.498, -0.044, 7.148
517238.49181, 1.293, 2.322, 5.789
517238.51111, -0.196, 1.824, 9.777
517238.53194, -0.852, 1.254, 13.766
517238.55203, 0.536, 1.192, 12.157
517238.57074, 1.106, 1.273, 9.471
517238.59085, -0.536, 0.315, 8.259
517238.61191, -0.436, -0.350, 12.004
517238.63176, -0.354, -0.489, 13.378
517238.65077, -0.330, 0.296, 11.511
517238.67160, -0.881, 0.450, 10.658
517238.69070, -1.010, 0.023, 10.141
517238.71151, -0.445, 0.311, 10.170
517238.73255, -0.105, 0.766, 10.749
517238.75053, 0.656, 0.727, 11.046
517238.77025, 0.512, 0.248, 11.252
517238.79134, -0.048, -0.360, 10.984
517238.81048, -0.163, -0.116, 9.184
517238.83136, -0.584, 0.320, 7.512
517238.85094, -0.939, 0.062, 8.800
517238.87010, -0.077, 0.392, 10.448
517238.88995, 0.843, 0.584, 9.825
517238.91144, 0.297, 0.057, 8.925
517238.92988, -0.072, -0.360, 8.317
517238.94984, 0.737, 0.239, 7.623
517238.97089, 1.216, 1.244, 7.225
517238.98978, 1.192, 1.125, 8.235
517239.01006, 0.273, 0.095, 9.715
517239.03181, 0.263, -0.216, 8.700
517239.04959, 0.431, 0.239, 7.666
517239.06959, 0.685, 1.216, 6.105
517239.09064, 0.852, 1.536, 6.009
517239.10955, 0.776, 1.498, 7.532
517239.12955, 0.536, 1.201, 9.284
517239.15047, 0.493, 0.579, 9.337
517239.16943, 0.364, 0.732, 8.288
517239.18961, -0.340, 0.574, 7.220
517239.21047, -0.479, 0.186, 8.911
517239.22959, -0.163, 0.153, 10.658
517239.24940, 0.297, 0.397, 10.845
517239.27025, 0.508, 0.349, 11.381
517239.28913, 0.397, 0.124, 12.890
517239.30906, 0.369, -0.245, 14.020
517239.33154, 0.412, -0.455, 12.588
517239.34912, 0.230, -0.197, 10.577
517239.36900, 0.024, 0.291, 10.256
517239.38989, 0.488, 0.579, 11.343
517239.40916, 1.130, 0.157, 10.716
517239.42913, 1.422, 0.019, 11.233
517239.45005, 1.264, -0.436, 12.143
517239.46880, 1.255, -0.676, 11.367
517239.48868, 1.001, -0.384, 9.385
517239.50996, 1.092, 0.263, 8.216
517239.53005, 1.082, 0.239, 9.136
517239.54854, 1.235, 0.181, 9.265
517239.56951, 1.207, 0.354, 8.781
517239.58852, 1.097, 0.373, 8.370
517239.60841, 0.900, 0.756, 7.881
517239.62967, 0.373, 1.129, 7.670
517239.64859, 0.297, 0.756, 7.709
517239.66974, -0.666, 0.196, 5.813
517239.68932, -0.575, 0.981, 4.984
517239.70822, -0.508, 0.794, 6.234
517239.72828, -0.517, 0.555, 7.326
517239.74889, -0.014, 0.780, 9.528
517239.76801, -0.670, 0.766, 9.236
517239.78788, 0.287, 1.106, 8.259
517239.80883, 0.254, 1.129, 8.207
517239.82784, -0.120, 0.818, 8.082
517239.84785, -0.354, 0.287, 8.212
517239.86867, -0.335, 0.540, 8.987
517239.88764, 0.235, 0.804, 9.686
517239.90760, 0.618, 1.043, 9.332
517239.92854, 0.373, 1.364, 8.331
517239.94752, 0.211, 0.986, 10.534
517239.96768, 0.038, 0.296, 11.674
517239.98855, -0.273, 0.148, 11.137
517240.00753, -0.005, 0.229, 10.859
517240.02747, 0.996, 0.799, 12.229
517240.04827, 0.757, 0.943, 12.425
517240.06740, 0.283, 0.478, 11.496
517240.08736, 0.168, 0.497, 10.146
517240.10824, 0.488, -0.063, 10.457
517240.12742, 0.986, -0.388, 13.033
517240.14719, 0.594, -0.092, 12.090
517240.16815, 0.201, 0.531, 8.777
517240.18707, -0.115, 0.124, 7.924
517240.20699, -0.895, -0.441, 9.231
517240.22797, -0.622, -0.264, 9.773
517240.24698, 0.263, 0.526, 9.021
517240.26695, 0.436, 1.005, 7.646
517240.28778, 0.771, 1.316, 8.116
517240.30681, 0.915, 1.182, 9.112
517240.33053, 0.718, 0.761, 9.231
517240.34780, 0.781, 0.617, 7.441
517240.36694, 0.723, 0.933, 6.416
517240.38700, 0.795, 1.560, 6.129
517240.40763, 0.737, 1.474, 6.976
517240.42698, 0.441, 1.551, 7.804
517240.44692, 0.172, 1.335, 7.819
517240.46767, 0.110, 1.029, 7.685
517240.48672, 0.287, 1.508, 8.365
517240.50667, 0.512, 1.637, 8.432
517240.53022, 0.378, 2.006, 7.570
517240.54651, 0.163, 1.886, 7.718
517240.56646, 0.014, 1.455, 10.103
517240.58754, 0.101, 0.847, 11.362
517240.60666, 0.579, 1.513, 11.535
517240.62663, 1.030, 2.863, 10.290
517240.64717, -0.110, 2.571, 9.978
517240.66628, -0.532, 1.398, 11.870
517240.68614, -0.632, 0.670, 13.575
517240.70748, -0.077, 0.540, 14.001
517240.73004, 0.350, 0.986, 12.760
517240.74600, 0.575, 1.910, 10.974
517240.76707, 0.182, 1.819, 11.008
517240.78599, 0.326, 0.574, 11.233
517240.80645, -0.182, -0.546, 11.223
517240.83006, -0.699, -0.997, 10.759
517240.84582, -0.852, -0.326, 10.587
517240.86581, -0.091, 0.766, 9.370
517240.88681, 0.498, 1.671, 7.570
517240.90604, 0.776, 1.680, 7.182
517240.92709, 0.172, 1.062, 9.174
517240.94653, 0.273, 0.330, 10.089
517240.96561, 0.340, 0.291, 8.671
517240.98552, 0.335, 0.694, 6.938
517241.00648, 0.350, 1.043, 7.407
517241.02540, 0.546, 1.254, 7.431
517241.04534, 0.378, 1.072, 7.263
517241.06632, -0.019, 0.641, 7.656
517241.08543, 0.067, 0.450, 7.172
517241.10524, 0.182, 1.125, 5.927
517241.12638, 0.029, 1.182, 6.172
517241.14523, -0.330, 0.938, 8.499
517241.16515, -0.057, 0.919, 9.442
517241.18648, 0.273, 1.287, 8.341
517241.20519, 0.579, 1.671, 8.121
517241.22660, 0.254, 1.244, 8.609
517241.24633, -0.254, 1.015, 9.883
517241.26490, -0.134, 0.823, 10.515
517241.28493, 0.005, 1.264, 10.189
517241.30620, 0.053, 1.517, 9.284
517241.32670, -0.350, 1.201, 11.602
517241.34599, -0.273, 0.382, 13.139
517241.36563, 0.220, 0.363, 12.875
517241.38506, 0.330, 1.144, 12.047
517241.40468, 0.077, 1.115, 11.429
517241.42558, 0.412, 0.904, 10.342
517241.44498, 0.522, 0.675, 11.233
517241.46445, 0.527, 0.119, 12.914
517241.48585, 0.259, -0.379, 13.393
517241.50466, -0.536, -0.183, 10.548
517241.52633, -0.603, 0.330, 7.421
517241.54598, -0.661, 1.077, 7.426
517241.56424, -0.464, 1.335, 8.858
517241.58462, 0.192, 1.685, 10.285
517241.60545, 0.043, 1.268, 8.547
517241.62445, -0.675, 0.555, 8.202
517241.64406, -0.646, 0.234, 8.173
517241.66503, -0.340, 0.780, 7.661
517241.68426, -0.053, 1.431, 7.081
517241.70403, 0.086, 1.474, 6.555
517241.72616, -0.263, 0.948, 6.650
517241.74450, -0.268, 0.689, 7.321
517241.76376, 0.206, 1.015, 7.570
517241.78523, 0.302, 1.580, 7.536
517241.80412, 0.235, 1.575, 6.861
517241.82563, -0.306, 0.991, 6.612
517241.84531, -0.311, 1.067, 7.546
517241.86367, 0.101, 1.575, 9.150
517241.88403, 0.512, 1.819, 8.896
517241.90483, -0.019, 1.364, 9.643
517241.92404, -0.340, 0.813, 10.802
517241.94347, -0.881, 0.382, 11.640
517241.96464, -0.460, 0.861, 11.209
517241.98349, -0.306, 1.575, 10.773
517242.00339, -0.239, 1.417, 12.162
517242.02521, 0.072, 0.416, 13.120
517242.04297, -0.034, 0.100, 12.966
517242.06304, 0.426, 0.512, 12.282
517242.08391, 1.020, 1.733, 11.070
517242.10296, 1.820, 2.408, 11.362
517242.12421, 1.566, 1.833, 10.716
517242.14389, 0.709, 0.502, 11.645
517242.16286, 0.273, -0.585, 12.330
517242.18314, 0.153, -0.403, 11.448
517242.20416, 0.316, 0.430, 9.073
517242.22455, 0.034, 0.622, 7.694
517242.24328, 0.268, 0.646, 8.374
517242.26368, 0.613, 0.751, 9.313
517242.28277, 0.685, 0.900, 8.959
517242.30288, 0.479, 0.895, 8.006
517242.32523, -0.278, 0.612, 8.135
517242.34324, -0.302, 0.272, 8.767
517242.36250, 0.110, 0.569, 7.503
517242.38352, 0.359, 0.957, 7.455
517242.40272, 0.469, 1.249, 7.795
517242.42370, 0.302, 1.254, 7.254
517242.44325, 0.215, 1.225, 6.334
517242.46234, 0.196, 1.340, 6.469
517242.48230, 0.192, 1.762, 7.541
517242.50349, 0.330, 1.766, 7.335
517242.52379, 0.115, 1.508, 6.933
517242.54258, 0.057, 1.249, 7.134
517242.56308, 0.488, 1.445, 8.489
517242.58214, 0.862, 1.623, 9.342
517242.60229, 0.599, 1.637, 10.022
517242.62442, 0.393, 1.522, 8.853
517242.64195, 0.417, 1.517, 8.121
517242.66192, 0.589, 1.886, 9.801
517242.68289, 0.627, 1.814, 11.741
517242.70157, 0.412, 1.513, 12.085
517242.72275, 0.148, 1.062, 11.726
517242.74252, 0.153, 1.134, 11.803
517242.76151, 0.747, 1.642, 12.081
517242.78156, 0.704, 2.092, 11.190
517242.80270, 0.479, 1.886, 11.085
517242.82280, 0.034, 0.852, 11.516
517242.84172, 0.120, 0.296, 12.435
517242.86228, 0.268, 0.220, 12.928
517242.88175, -0.196, 0.220, 12.085
517242.90133, -0.603, 0.167, 9.782
517242.92240, -0.517, 0.445, 7.484
517242.94164, -0.148, 0.866, 6.818
517242.96122, -0.192, 1.129, 8.666
517242.98244, 0.273, 1.168, 9.615
517243.00109, 0.364, 1.144, 8.427
517243.02205, 0.364, 0.809, 7.330
517243.04201, 0.057, 0.995, 9.275
517243.06112, 0.057, 0.933, 9.634
517243.08138, -0.081, 0.818, 8.365
517243.10203, 0.168, 0.948, 6.823
517243.12137, 0.259, 1.311, 6.593
517243.14153, 0.259, 1.493, 7.211
517243.16176, 0.062, 1.383, 7.105
517243.18129, 0.010, 1.307, 7.062
517243.20114, 0.172, 1.450, 7.943
517243.22186, 0.215, 1.527, 8.159
517243.24149, 0.124, 1.608, 8.144
517243.26061, -0.158, 1.273, 8.101
517243.28198, -0.474, 1.058, 8.307
517243.30097, -0.445, 1.062, 9.361
517243.32080, 0.053, 1.407, 10.496
517243.34163, 0.498, 1.886, 11.099
517243.36055, 0.359, 1.704, 11.334
517243.38043, -0.522, 0.794, 12.732
517243.40119, -0.599, 0.354, 12.880
517243.42008, -0.268, 0.880, 11.573
517243.44038, 0.646, 1.608, 11.290
517243.46108, 1.101, 2.020, 11.391
517243.48006, 0.603, 1.541, 11.511
517243.49992, 0.302, 0.584, 11.812
517243.52228, 0.158, 0.047, 11.070
517243.54015, 0.517, 0.593, 10.108
517243.55978, 0.532, 1.134, 9.423
517243.58107, 0.206, 1.096, 8.614
517243.60005, -0.177, 0.794, 8.686
517243.62109, 0.661, 0.579, 8.638
517243.64117, 1.164, 0.885, 7.728
517243.65980, 1.082, 0.981, 8.834
517243.68013, 0.943, 0.660, 9.911
517243.70069, 0.742, 0.574, 9.753
517243.71971, 0.627, 0.924, 8.772
517243.73985, 0.484, 1.153, 7.163
517243.76072, 0.340, 1.398, 6.220
517243.77953, 0.263, 1.441, 6.344
517243.79939, 0.283, 1.541, 7.148
517243.82110, 0.498, 1.604, 7.781
517243.83977, 0.441, 1.714, 7.943
517243.85939, 0.445, 1.393, 7.570
517243.88063, -0.038, 0.971, 7.972
517243.89967, 0.378, 1.230, 9.088
517243.91950, 0.589, 1.666, 8.863
517243.94071, 0.627, 1.728, 8.432
517243.95927, 0.575, 1.455, 9.035
517243.97944, 0.618, 1.220, 10.457
517243.99998, 0.699, 1.369, 11.147
517244.01900, 0.694, 1.627, 10.960
517244.03895, 0.728, 1.833, 10.160
517244.05979, 0.139, 1.402, 10.769
517244.07903, 0.206, 1.153, 11.808
517244.09863, 0.661, 1.273, 11.707
517244.11961, 0.608, 1.853, 10.831
517244.13861, 0.345, 1.527, 10.232
517244.15855, 0.263, 0.948, 10.160
517244.17981, 0.302, 0.339, 11.745
517244.19871, 0.599, 0.210, 12.837
517244.21866, 0.445, 0.272, 12.325
517244.23953, -0.029, 0.354, 9.480
517244.25867, -0.158, 0.593, 7.776
517244.27845, 0.105, 0.780, 7.436
517244.29970, 0.172, 1.067, 8.911
517244.31847, 0.484, 1.450, 9.399
517244.33859, 0.038, 1.326, 8.025
517244.35920, -0.345, 0.799, 8.336
517244.37825, -0.350, 0.703, 9.112
517244.39855, 0.000, 0.943, 9.251
517244.41930, 0.302, 1.489, 8.738
517244.43848, 0.192, 1.546, 8.212
517244.45824, -0.105, 1.321, 7.958
517244.47901, -0.192, 1.230, 7.575
517244.49798, 0.192, 1.584, 7.608
517244.51793, 0.273, 1.819, 7.603
517244.54020, 0.057, 1.733, 8.063
517244.55831, -0.211, 1.479, 7.881
517244.57781, -0.326, 1.254, 7.843
517244.59903, -0.148, 1.565, 7.187
517244.61812, 0.120, 1.934, 8.020
517244.63881, -0.014, 1.723, 9.466
517244.65881, -0.369, 1.259, 10.496
517244.67764, -0.005, 1.029, 9.816
517244.69813, 0.038, 1.426, 9.466
517244.71850, 0.024, 1.436, 10.816
517244.73747, -0.187, 1.038, 12.851
517244.75740, -0.225, 0.842, 13.919
517244.77823, 0.139, 1.498, 12.119
517244.79715, 0.685, 1.881, 10.026
517244.81705, 1.030, 1.943, 9.346
517244.83806, 0.498, 1.565, 10.529
517244.85696, 0.455, 0.895, 12.023
517244.87713, 0.781, 0.675, 11.535
517244.89858, 0.929, 0.746, 10.452
517244.91706, 0.752, 0.627, 9.658
517244.93708, 0.340, 0.871, 8.987
517244.95789, -0.220, 0.842, 8.710
517244.97694, 0.034, 0.789, 8.590
517244.99696, 0.862, 1.407, 8.087
517245.01811, 1.279, 1.752, 7.699
517245.03710, 0.943, 1.187, 8.662
517245.05699, 0.378, 0.373, 10.146
517245.07773, 0.283, 0.306, 9.959
517245.09702, 0.637, 0.871, 8.920
517245.11690, 0.517, 1.422, 7.522
517245.13871, 0.148, 1.374, 7.646
517245.15678, 0.010, 1.254, 7.407
517245.17650, 0.235, 1.465, 7.278
517245.19779, 0.369, 1.704, 7.397
517245.21666, 0.330, 1.766, 7.551
517245.23630, 0.096, 1.474, 7.934
517245.25760, 0.316, 1.316, 8.379
517245.27639, 0.484, 1.661, 8.566
517245.29662, 0.709, 1.929, 8.341
517245.31739, 0.675, 1.977, 8.082
517245.33664, 0.220, 1.642, 8.398
517245.35630, 0.220, 1.383, 8.676
517245.37710, 0.474, 1.714, 8.997
517245.39670, 0.924, 2.216, 9.227
517245.41596, 0.656, 2.197, 9.049
517245.43697, 0.000, 1.532, 9.763
517245.45569, 0.086, 1.388, 10.362
517245.47591, 0.694, 1.896, 10.093
517245.49680, 0.785, 2.063, 10.831
517245.51558, 0.666, 1.819, 11.721
517245.53551, 0.460, 1.675, 11.827
517245.55667, 0.297, 1.560, 10.180
517245.57573, 0.306, 1.651, 10.529
517245.59577, 0.278, 1.503, 11.674
517245.61756, 0.057, 1.230, 10.476
517245.63581, 0.172, 1.469, 9.346
517245.65556, 0.843, 1.661, 9.648
517245.67642, 0.632, 1.331, 11.137
517245.69574, 0.316, 0.789, 12.052
517245.71556, -0.268, 0.277, 10.826
517245.73655, -0.431, 0.440, 8.963
517245.75554, 0.053, 0.876, 8.896
517245.77524, 0.354, 0.995, 9.950
517245.79668, 0.129, 0.794, 10.261
517245.81510, 0.326, 0.861, 9.399
517245.83629, -0.105, 0.837, 8.695
517245.85589, -0.144, 0.593, 8.662
517245.87504, -0.014, 0.708, 8.580
517245.89526, 0.254, 1.139, 8.767
517245.91616, 0.273, 1.129, 8.226
517245.93608, -0.306, 0.919, 7.714
517245.95522, -0.508, 0.804, 7.445
517245.97583, -0.316, 0.952, 7.608
517245.99629, 0.005, 1.570, 8.101
517246.01460, 0.316, 1.565, 8.398
517246.03562, -0.034, 1.230, 8.312
517246.05490, -0.536, 0.631, 8.911
517246.07454, -0.225, 0.588, 9.049
517246.09594, 0.244, 1.474, 7.915
517246.11616, 0.326, 1.508, 7.776
517246.13555, 0.364, 1.383, 8.666
517246.15535, 0.201, 1.168, 8.633
517246.17456, 0.148, 1.038, 8.475
517246.19469, 0.306, 1.307, 8.748
517246.21533, 0.450, 1.776, 9.227
517246.23466, 0.407, 1.632, 9.255
517246.25460, 0.742, 1.278, 9.998
517246.27527, 0.661, 1.010, 10.208
517246.29448, 0.699, 1.077, 10.208
517246.31460, 0.450, 1.058, 9.514
517246.33653, 0.455, 1.177, 8.973
517246.35400, 0.464, 1.091, 9.078
517246.37406, 0.536, 1.402, 9.322
517246.39531, 0.230, 1.182, 9.078
517246.41442, -0.048, 1.029, 8.777
517246.43528, 0.153, 1.292, 8.743
517246.45508, 0.129, 1.374, 9.064
517246.47379, 0.445, 1.733, 8.666
517246.49356, 0.201, 1.819, 8.355
517246.51464, 0.809, 1.857, 8.877
517246.53360, 0.168, 1.536, 9.136
517246.55346, 0.014, 1.273, 9.490
517246.57418, 0.345, 1.417, 10.189
517246.59348, 0.072, 1.331, 9.686
